dataset_indexhtml_path,file_name,artist,title,instrument,has_dadagp_txt,has_gp5,has_tabvae_csv,has_scalevae_csv,has_wav,has_xml,has_pdf,dadagp_num_lines,dadagp_num_measures,dadagp_total_wait_ticks,dadagp_total_note_ticks,dadagp_note_density,normalized_ticks_per_measure,xml_num_measures,tabvae_num_rows,tabvae_num_cols,scalevae_num_rows,scalevae_num_cols,scalevae_total_quarter_length,scalevae_midi_range_min,scalevae_midi_range_max,scalevae_appear_midi_min,scalevae_appear_midi_max,wav_length_sec,wav_num_samples,wav_sample_rate
0,Intro16-DadaGP-v1.0\analysis_result\htmls\00000.html,1 God - Grace_clean0,1 God,Grace,clean0,1,1,1,1,1,1,1,901,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,71,35.0,1543500,44100
1,Intro16-DadaGP-v1.0\analysis_result\htmls\00001.html,1 God - Sativa Arabica_clean0,1 God,Sativa Arabica,clean0,1,1,1,1,1,1,1,622,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,43,71,30.42798185941043,1341874,44100
2,Intro16-DadaGP-v1.0\analysis_result\htmls\00002.html,1 God - Tali_clean0,1 God,Tali,clean0,1,1,1,1,1,1,1,1109,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,76,57.85698412698413,2551493,44100
3,Intro16-DadaGP-v1.0\analysis_result\htmls\00003.html,1 God - Wierdo_clean0,1 God,Wierdo,clean0,1,1,1,1,1,1,1,780,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,67,57.85698412698413,2551493,44100
4,Intro16-DadaGP-v1.0\analysis_result\htmls\00004.html,12 Stones - Crash_clean0,12 Stones,Crash,clean0,1,1,1,1,1,1,1,261,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,49,64,32.53798185941043,1434925,44100
5,Intro16-DadaGP-v1.0\analysis_result\htmls\00005.html,1349 - Riders Of The Apocalypse_distorted0,1349,Riders Of The Apocalypse,distorted0,1,1,1,1,1,1,1,749,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,58,21.284988662131518,938668,44100
6,Intro16-DadaGP-v1.0\analysis_result\htmls\00006.html,"1974 AD, Pahilo Junema - Jungi Nishan_clean0","1974 AD, Pahilo Junema",Jungi Nishan,clean0,1,1,1,1,1,1,1,509,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,69,37.90897959183673,1671786,44100
7,Intro16-DadaGP-v1.0\analysis_result\htmls\00007.html,"1974 ad, pahilo junema - Manta Mero Nepali_clean0","1974 ad, pahilo junema",Manta Mero Nepali,clean0,1,1,1,1,1,1,1,697,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,67,28.6,1261260,44100
8,Intro16-DadaGP-v1.0\analysis_result\htmls\00008.html,"1974 AD, Pahilo Junema - Sisire Jhai_clean0","1974 AD, Pahilo Junema",Sisire Jhai,clean0,1,1,1,1,1,1,1,273,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,43,67,32.53798185941043,1434925,44100
9,Intro16-DadaGP-v1.0\analysis_result\htmls\00009.html,1Kempfi1 - 4 Seasons_clean0,1Kempfi1,4 Seasons,clean0,1,1,1,1,1,1,1,357,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,40,62,35.0,1543500,44100
10,Intro16-DadaGP-v1.0\analysis_result\htmls\00010.html,1Kempfi1 - Short & Stupid_distorted0,1Kempfi1,Short & Stupid,distorted0,1,1,1,1,1,1,1,405,16,61440,61440,1.0,3840.0,16,12,512,142,256,64.0,34,104,43,64,25.58798185941043,1128430,44100
